Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,74358,1716006782|28800|0,1996,1651,1364,612,598,620,592,105,52,15,33,98,85,58,1257,36,31,29,98,399,301,338,308,160,247,71,62,40,87,44,0,0,28770883,24598526,15018171,16780465,2408,938625,720000,3970,198,116,3329,1114,3060,875,447,131,728,466,733
,74558,1716085198|28800|0,1989,1638,880,610,595,620,591,104,47,15,32,98,85,67,1258,38,31,28,98,371,309,334,306,148,232,72,62,41,88,52,0,0,26777658,24892365,14632389,16588873,2181,991266,720000,4387,198,115,3846,1111,2886,884,444,132,720,467,808
,74758,1716175015|28800|0,1987,1638,1635,637,627,641,617,107,49,15,33,100,86,59,1264,40,32,29,98,363,320,338,307,158,242,72,64,39,89,44,0,0,28012096,24843056,15868544,17957991,6378,943886,720000,4502,275,119,3619,1105,2924,896,447,133,729,470,6130
,74959,1716279424|28800|0,1986,1657,808,613,599,617,595,106,55,15,31,99,85,58,1278,40,31,28,98,375,302,334,306,132,240,71,62,38,88,44,0,0,25251439,24484016,17207810,18229788,2249,911156,720000,4410,198,119,3425,1093,3082,921,448,131,724,475,848
,75159,1716361676|28800|0,1989,1649,356,639,630,646,612,105,47,15,32,98,85,67,1271,39,32,28,98,374,299,338,309,155,232,72,63,44,88,52,0,0,25107613,24426568,16557169,18427031,14093,816227,720000,4404,198,116,3593,1097,2934,917,429,131,723,472,10825
,75360,1716488557|28800|0,1986,1644,1278,636,628,644,603,106,59,15,33,99,86,42,1263,38,32,27,98,383,311,327,310,141,251,71,63,31,87,33,0,0,25387291,23015791,16023356,18228224,12544,833756,720000,3926,198,118,3350,1108,3063,903,469,133,725,469,22774
,75560,1716574180|28800|0,1988,1634,317,616,602,622,589,106,49,15,31,99,86,66,1239,40,33,28,98,380,310,347,306,165,245,70,63,43,86,52,0,0,26307590,23406449,13958275,15872700,16994,1024732,720000,4390,198,115,3372,1076,3049,852,436,135,722,459,827
,75760,1716656238|28800|0,1986,1662,289,617,603,624,593,104,47,15,31,100,86,65,1289,40,33,29,98,375,299,349,307,134,230,72,64,46,88,54,0,0,26028365,24882861,15506518,17286449,21782,685514,720000,4525,198,116,3337,1106,3059,907,433,131,727,479,579
,75961,1716806820|28800|0,1988,1655,2411,611,596,616,587,107,59,16,30,97,84,41,1263,37,31,26,98,378,316,360,308,225,287,71,62,29,88,31,0,0,30899260,25629334,14712714,16153416,3899,1055388,720000,4433,198,118,3374,1109,2992,859,483,132,725,468,2090
,76162,1716888791|28800|0,1988,1656,2390,616,597,623,590,106,47,15,33,98,85,67,1295,38,31,28,98,346,310,313,309,167,232,72,63,42,88,51,0,0,25496836,26514155,16784405,18011522,11171,750049,720000,4578,198,115,3388,1117,3031,932,439,129,728,482,450
,76362,1717004658|28800|0,1989,1646,2266,616,596,623,590,108,60,16,30,98,85,39,1269,37,31,25,98,369,310,343,308,158,258,72,62,28,88,31,0,0,25183474,24558195,15732071,17389694,12640,896748,720000,4340,198,119,3208,1100,2914,898,473,132,719,471,728
,76562,1717086375|28800|0,1982,1653,2018,616,596,621,589,107,47,15,33,99,86,68,1306,37,32,28,98,396,312,343,308,143,240,72,65,44,88,55,0,0,26656629,25936283,16013125,17670343,11181,745874,720000,4400,198,115,3526,1141,3004,935,430,130,732,487,711
,76763,1717184365|28800|0,1988,1647,2336,617,596,624,590,106,54,15,31,99,85,56,1278,37,31,27,98,385,302,340,307,139,244,71,63,36,86,41,0,0,25912688,25768541,15503212,16825118,3853,947910,720000,4368,198,117,3383,1117,2984,901,457,133,724,475,571
