Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,86583,1722203598|28800|0,1976,1570,252,625,617,639,601,107,48,15,28,99,86,65,1186,37,32,28,99,361,298,323,306,127,245,72,61,34,88,48,0,0,27043824,23935314,13707488,16384301,1854,1376377,720000,4452,199,114,3335,1045,3002,836,451,142,723,439,43102
,86783,1722282026|28800|0,1977,1547,265,630,626,641,609,105,46,15,32,100,86,66,1173,39,33,28,99,367,301,338,304,109,236,73,61,42,89,50,0,0,26245449,25032265,13947760,16938304,4298,1280088,720000,4315,198,114,3428,1053,2700,848,438,144,732,435,54551
,86983,1722386815|28800|0,1979,1514,248,625,622,637,603,105,55,15,30,100,87,52,1127,37,31,26,99,344,316,357,304,160,242,71,58,33,88,36,0,0,24154987,22278872,12744687,15518557,7077,1926549,720000,3973,288,115,3144,998,2855,800,450,149,722,416,38948
,87183,1722477343|28800|0,1979,1578,258,627,623,643,606,106,54,15,31,101,88,55,1186,38,32,28,99,380,312,350,302,213,280,72,61,35,90,39,0,0,25301536,22445070,13385875,14732597,28334,1327665,720000,4083,198,114,3282,1035,2787,825,453,141,732,439,25311
,87384,1722553590|28800|0,1981,1619,258,621,621,636,599,107,48,15,30,100,89,65,1254,39,32,28,99,360,301,367,304,159,240,74,63,40,90,50,0,0,26560841,23675473,14040899,16054248,10389,971458,720000,4372,199,115,3611,1090,2818,873,436,136,724,466,13491
,87584,1722681375|28800|0,1978,1564,399,633,632,650,607,105,61,15,31,99,87,35,1215,40,33,24,99,374,301,354,305,149,253,73,62,28,87,30,0,0,28477666,25901249,15902824,17901635,18387,1115681,720000,4424,199,116,3470,1100,2916,894,472,141,726,452,51053
,87784,1722761329|28800|0,1979,1561,279,631,628,648,605,105,47,15,32,99,86,66,1202,36,31,28,99,391,305,346,303,126,238,70,60,35,85,49,0,0,27593838,24281799,14228989,16621255,8003,1270185,720000,4241,198,114,3294,1098,2768,868,439,141,719,446,40752
,87985,1722936676|28800|0,1978,1545,436,633,628,647,608,105,59,15,33,99,86,36,1144,37,33,25,99,403,304,368,307,152,257,69,59,30,86,30,0,0,26843206,22243737,13797834,15833000,20686,1699232,720000,4101,199,124,3103,1020,2876,810,480,145,727,422,47520
,88185,1723014299|28800|0,1989,1611,254,633,629,647,607,105,47,14,29,99,86,68,1255,36,31,29,99,398,307,330,305,139,233,70,62,44,86,50,0,0,28530070,25426831,15319184,17222366,2758,756736,720000,4520,204,115,3364,1128,3083,895,428,133,723,467,35615
,88386,1723117936|28800|0,1983,1583,251,627,623,640,604,104,53,15,27,98,85,53,1184,34,30,27,99,393,301,352,307,150,246,67,58,36,83,38,0,0,23225288,22086830,13445699,16175205,1023,1444591,720000,4053,198,117,3104,1015,2887,832,464,139,727,437,17788
,88586,1723194000|28800|0,1982,1583,253,619,615,634,599,105,47,15,32,99,86,64,1213,36,30,27,99,395,302,345,304,110,241,71,60,34,87,46,0,0,26113120,23510623,13472166,17007467,2317,1242526,720000,4381,198,114,3286,1076,2948,860,447,138,719,450,31305
,88786,1723270278|28800|0,1976,1562,254,629,625,641,610,103,48,15,32,99,86,65,1231,39,32,28,99,374,295,351,306,128,239,72,61,36,87,47,0,0,28303485,24900543,14910044,16512320,4250,1005744,720000,4237,203,114,3272,1142,2831,898,443,139,724,459,59178
,88986,1723350573|28800|0,1978,1552,249,629,622,640,608,103,47,15,32,99,86,66,1187,38,33,28,99,392,303,349,307,154,237,72,61,34,88,51,0,0,25989507,24098323,13884410,16243844,2381,1239854,720000,4209,266,115,3123,1088,2782,861,435,141,723,440,62202
,89186,1723429790|28800|0,1970,1563,250,641,632,651,613,103,48,15,28,100,88,65,1197,40,32,28,99,374,296,349,306,109,238,71,61,39,86,45,0,0,28525883,24333094,14847577,16803338,8947,976307,720000,4365,203,114,3659,1103,3015,867,443,139,725,444,71997
,89387,1723509033|28800|0,1974,1565,245,634,625,645,615,104,47,16,32,98,86,64,1178,42,32,29,99,372,298,365,304,116,237,71,61,35,85,48,0,0,29203872,23454233,14148334,16636009,4668,1165573,720000,4449,199,115,3485,1078,2900,842,441,141,726,436,71996
,89587,1723614040|28800|0,1969,1554,250,636,628,645,614,104,59,15,32,99,87,39,1195,39,33,25,99,396,303,341,305,141,243,72,61,30,86,32,0,0,26296026,25640282,14652869,16201211,10347,1230286,720000,4236,199,116,3328,1092,2800,869,453,144,723,444,71997
,89787,1723694405|28800|0,1978,1600,256,627,619,638,605,104,48,15,31,99,86,64,1218,39,32,28,99,376,299,356,304,176,247,72,61,42,86,49,0,0,25905608,23685673,14295284,15984322,2406,1037260,720000,4310,199,116,3523,1083,2880,856,438,138,728,452,50308
,89987,1723771949|28800|0,1981,1608,267,619,616,634,601,104,46,15,30,99,86,66,1218,37,32,29,99,375,298,360,305,110,235,70,62,43,86,50,0,0,24569831,22646927,13170901,15221446,4894,1003865,720000,4165,198,115,3335,1056,2876,842,419,138,728,451,32707
,90188,1723879408|28800|0,1973,1532,259,635,633,652,613,105,56,15,30,99,88,49,1136,40,34,28,99,390,294,347,304,153,260,70,60,34,84,36,0,0,26284555,24273580,13762430,15589399,12551,1427753,720000,4229,198,117,3056,1045,2945,827,509,146,735,419,71997
,90388,1723975403|28800|0,1979,1602,256,629,623,644,610,105,56,15,32,99,86,48,1225,39,31,27,99,385,303,342,303,128,250,71,61,34,86,37,0,0,29133790,24298107,14053907,16386053,2974,1143767,720000,4078,199,116,3312,1095,2982,848,468,138,727,454,34163
,90588,1724085758|28800|0,1982,1618,262,627,621,642,605,105,58,15,32,100,87,50,1255,37,30,28,99,364,301,346,304,136,253,68,60,37,83,39,0,0,26761250,24758727,15566262,17627477,2188,1003241,720000,4068,257,118,3539,1117,3002,892,451,136,727,467,34987
,90789,1724171599|28800|0,1978,1581,256,634,626,645,609,105,50,15,32,100,87,62,1194,37,31,28,99,348,317,331,303,142,245,69,60,36,83,43,0,0,25421543,23008013,14143840,14983148,4034,1356174,720000,4033,198,116,3469,1074,2915,837,448,143,729,442,31724
,90989,1724269904|28800|0,1979,1576,273,627,624,644,608,106,56,16,32,98,85,46,1169,33,29,28,99,377,303,331,305,112,253,67,58,33,83,34,0,0,24680769,22976390,13863353,14658045,1133,1612998,720000,3890,198,115,3539,1036,2921,819,470,143,724,431,21005
,91189,1724374969|28800|0,1980,1551,267,619,614,632,601,107,58,15,33,98,85,47,1167,33,29,26,99,358,298,348,304,137,247,70,58,32,86,34,0,0,26458833,23857634,13490551,15537035,1115,1832149,720000,3917,198,115,3292,1066,2943,829,460,146,726,432,32186
,91390,1724457580|28800|0,1982,1610,255,620,620,638,600,106,48,15,32,100,86,66,1260,36,31,27,99,378,297,335,299,173,238,71,62,34,87,51,0,0,29336260,25984492,15053285,16672293,2666,969498,720000,4270,200,117,3454,1153,2872,902,433,137,724,469,40451
,91590,1724569358|28800|0,1979,1610,254,618,618,641,600,106,59,15,31,101,88,40,1268,38,32,25,99,389,301,346,305,155,261,72,62,30,87,33,0,0,27565774,25421306,14072272,15862702,20152,1145280,720000,4205,199,117,3547,1133,2993,885,481,140,721,473,19386
,91790,1724649554|28800|0,1983,1579,256,616,621,639,608,106,50,15,32,100,87,63,1212,39,31,27,99,388,295,344,306,159,247,71,60,34,87,46,0,0,29081173,24439298,14481345,15871590,4349,1226717,720000,4155,199,114,3239,1108,2872,865,450,140,721,450,39406
,91991,1724777135|28800|0,1980,1561,259,618,625,643,605,105,56,15,25,99,86,38,1182,37,31,25,99,392,301,330,298,162,253,73,61,31,87,32,0,0,27540912,23515618,13871045,15745562,3988,1198877,720000,4104,197,121,3302,1072,2856,840,472,139,729,437,38798
,92192,1724900763|28800|0,1980,1534,257,623,628,642,609,108,55,15,26,101,88,51,1126,38,32,25,99,414,296,328,302,209,277,72,59,32,87,34,0,0,23822322,20513850,12946179,14304848,21205,1843895,720000,3695,198,120,3306,986,2885,789,460,146,721,414,26798
,92392,1724980039|28800|0,1981,1631,242,608,606,627,589,104,47,14,32,100,88,66,1288,36,31,29,99,351,297,350,304,126,240,72,63,39,88,51,0,0,25285561,23764136,14322425,17114815,6407,856252,720000,4080,197,116,3020,1135,3062,912,428,133,723,481,395
,92594,1725109028|28800|0,1984,1585,237,619,626,637,604,105,62,15,31,100,87,37,1188,37,33,24,99,386,302,339,299,213,285,71,61,27,87,29,0,0,25219707,20762761,11123562,14463913,6060,1607760,720000,3964,286,115,3324,1024,2853,788,467,143,724,439,5077
,92795,1725229584|28800|0,1980,1590,242,612,604,632,596,108,59,0,25,99,87,0,1202,36,31,24,98,376,300,329,299,182,275,68,58,28,85,31,0,0,26091092,20229015,12931998,14102152,14212,4649119,720000,3639,198,116,3266,1032,2818,815,661,169,733,445,1470
,92997,1725354183|28800|0,1984,1607,292,626,625,646,606,103,56,15,29,100,87,0,1244,39,34,24,98,349,296,352,305,138,254,71,61,30,85,30,0,0,27081517,20992836,13235108,14867118,14464,3786783,720000,4030,198,114,3112,1070,2884,844,470,167,739,463,2140
,93198,1725500898|28800|0,1986,1587,420,637,629,653,614,107,59,14,25,99,88,0,1227,38,31,23,99,426,292,328,303,152,269,71,59,28,83,29,0,0,24927396,21892365,14433805,17108775,20851,3844541,720000,4186,198,118,3540,1054,2832,867,542,166,727,456,29743
,93398,1725581510|28800|0,1981,1634,253,622,622,642,607,105,47,15,32,101,88,68,1238,38,32,29,99,376,306,339,303,218,279,71,61,44,85,51,0,0,28191946,22231537,14211743,16197306,4323,2664615,720000,4505,197,115,3581,1075,2952,853,497,159,733,458,38570
,93599,1725694425|28800|0,1978,1633,246,616,603,636,603,104,57,14,30,101,93,51,1264,40,34,28,99,401,294,370,303,167,257,69,61,33,84,36,0,0,25691414,21795675,13208783,14208110,43404,3435891,720000,4423,197,118,3240,1062,3045,846,483,167,727,470,1128
,93799,1725777948|28800|0,1981,1666,241,620,612,642,602,102,47,14,31,101,88,65,1353,38,32,28,99,373,295,355,302,168,254,69,62,44,86,52,0,0,25669063,23552822,15169935,18138578,12245,2067027,720000,4746,198,117,3235,1148,2932,934,462,157,733,507,530
,93999,1725857740|28800|0,1980,1648,238,620,615,638,605,102,48,14,24,100,88,66,1349,40,32,28,99,385,295,349,300,114,245,70,62,41,85,49,0,0,22455281,23740706,14759639,16108302,11956,2419470,720000,4194,198,114,3150,1140,2897,934,466,161,746,506,3324
,94200,1725948236|28800|0,1977,1661,239,614,602,631,596,100,50,14,25,100,91,61,1319,40,32,28,99,395,300,346,304,111,246,71,61,38,85,45,0,0,23503410,21075274,13728015,15553244,10514,2351950,720000,4453,198,116,3437,1084,2902,880,464,158,736,492,476
,94401,1726077596|28800|0,1977,1636,239,614,606,634,598,101,62,15,26,100,88,0,1311,38,32,24,99,395,298,329,304,145,256,68,60,29,83,31,0,0,24025342,21480560,13468090,14939672,19739,2989079,720000,4246,197,123,3109,1091,2995,875,518,163,732,490,1164
,94602,1726160650|28800|0,1982,1654,235,611,609,637,598,99,46,15,20,100,89,69,1350,38,32,27,99,380,304,341,304,157,255,69,62,42,84,55,0,0,25646214,23574557,14483697,16356444,10880,2306277,720000,4988,197,120,3563,1124,3000,911,456,158,737,507,549
,94803,1726281123|28800|0,1977,1621,234,604,604,628,588,101,55,15,32,98,87,0,1263,36,29,27,98,373,298,361,303,160,257,64,57,35,79,37,0,0,24308236,20577224,12429356,14186005,1404,3780846,720000,4096,197,119,3275,1043,2933,821,492,165,729,470,3337
,95003,1726364715|28800|0,1978,1637,233,613,612,636,595,98,47,15,29,100,87,67,1309,39,32,29,99,390,296,344,304,160,251,68,61,39,83,50,0,0,23396391,21576711,12800733,14758356,10419,2675479,720000,3973,198,116,3066,1097,2742,865,476,163,735,490,427
,95203,1726447844|28800|0,1983,1642,240,608,606,633,597,98,48,15,32,101,90,66,1325,40,33,29,98,380,292,327,303,180,247,70,63,43,85,51,0,0,24179561,22198230,14243536,15925634,20911,2695627,720000,4282,198,118,3175,1097,2883,883,464,162,732,496,333
,95404,1726536557|28800|0,1978,1620,240,620,612,642,602,98,51,15,20,100,88,0,1285,39,33,26,98,356,297,337,303,158,243,72,62,38,85,39,0,0,25180320,20988547,13528676,15602352,20755,3458110,720000,3883,198,114,3423,1073,2972,854,448,166,742,480,1006
,95604,1726615944|28800|0,1987,1605,254,613,603,633,604,98,48,15,30,100,88,66,1286,38,33,30,98,390,299,325,299,150,256,70,62,41,84,49,0,0,26441877,20690014,13763274,14621301,13142,3530411,720000,4039,199,117,3159,1094,2782,877,469,168,739,481,1120
,95805,1726707008|28800|0,1979,1589,238,624,613,638,615,98,53,15,21,102,89,0,1241,38,32,28,98,362,295,342,305,126,254,71,60,32,85,44,0,0,24281994,20148660,12637423,14672965,29151,4760118,720000,3817,198,116,3298,1053,2972,833,484,174,727,462,1032
,96005,1726809302|28800|0,1975,1641,242,619,603,635,609,99,56,14,30,102,89,53,1320,38,33,26,98,377,301,338,301,117,259,71,62,32,86,37,0,0,23632256,21773361,13126155,14317604,31474,2735720,720000,4097,199,116,3292,1131,2855,882,473,164,725,494,910
,96208,1726930330|28800|0,1983,1650,235,600,598,625,591,102,60,14,33,98,85,0,1291,33,29,23,98,378,301,329,302,143,256,65,59,27,80,30,0,0,25400867,22367441,13369170,15491336,810,3136575,720000,4491,199,114,3205,1069,2987,865,468,160,749,481,618
,96408,1727013506|28800|0,1981,1673,236,606,601,628,601,98,48,15,20,102,89,68,1316,37,31,28,99,362,311,346,297,106,244,70,61,44,84,48,0,0,22771366,21764353,13014994,16024101,17830,2414439,720000,4294,199,118,3147,1068,2977,881,467,157,727,491,539
,96609,1727094487|28800|0,1981,1654,234,608,606,632,604,99,50,13,23,101,89,66,1317,42,33,27,99,379,299,334,299,135,245,71,62,43,85,48,0,0,25875943,22592422,13059889,14957420,24576,2704423,720000,4492,199,115,2998,1088,2826,868,464,161,724,492,501
,96809,1727174039|28800|0,1982,1646,223,607,604,628,600,99,48,5,5,100,88,64,1272,38,32,29,99,356,294,346,302,227,292,68,61,41,84,50,0,0,21730350,21606554,11933182,13903774,18241,3159520,720000,4553,198,115,3260,1029,2828,825,501,161,736,472,1042
,97010,1727304488|28800|0,1979,1637,236,610,609,627,603,100,55,15,29,98,85,41,1255,36,29,26,98,389,296,351,302,126,265,65,56,32,82,33,10,1,22449351,21292172,12741682,15094500,914,3428779,720000,4469,199,118,3192,1033,2910,842,490,161,729,466,7911
,97211,1727384150|28800|0,1981,1595,241,612,608,626,604,100,47,15,21,99,86,67,1216,36,31,27,99,366,296,343,301,113,246,68,59,41,82,54,0,0,27819207,19728074,11304842,13815007,2239,4286839,720000,4349,198,115,3227,1023,2905,784,473,169,736,451,8566
,97411,1727465737|28800|0,1977,1585,234,610,607,629,602,98,47,14,1,100,88,67,1199,37,32,27,99,388,305,340,299,163,244,71,59,38,83,46,0,0,27724667,18178741,10385743,12854749,12044,4493031,720000,4135,198,114,3013,997,2958,763,461,171,737,444,4347
,97612,1727545890|28800|0,1983,1605,225,607,603,625,604,97,47,15,32,101,88,0,1251,38,32,27,98,354,297,361,301,165,243,70,60,37,85,49,0,0,23617814,21741443,13238425,14426285,14777,3990815,720000,4801,198,116,3462,1020,2859,828,462,168,732,466,1219
,97812,1727737083|28800|0,1978,1591,233,613,605,628,600,99,61,14,20,100,88,0,1207,36,32,28,98,378,293,352,301,112,254,67,58,31,83,31,0,0,20634954,18554511,11977532,16019879,11327,5450511,720000,3980,198,118,3160,960,2883,789,493,174,733,447,4264
,98013,1727834832|28800|0,1975,1646,229,608,603,628,604,99,56,5,23,100,87,54,1279,37,32,27,99,363,297,330,299,168,253,70,61,34,85,38,0,0,24386103,19407364,11937512,14160601,7144,2939397,720000,4029,198,116,3536,1053,2929,825,525,162,733,476,1035
,98213,1727943351|28800|0,1980,1591,263,608,599,630,603,97,55,14,22,104,90,47,1242,37,31,25,98,397,293,344,300,138,256,68,58,31,85,34,0,0,20605527,19001193,12118305,15104492,15931,5033395,720000,3941,199,119,3415,1005,2860,829,499,173,747,462,839
,98414,1728041878|28800|0,1975,1590,299,605,596,626,601,97,53,15,22,100,87,57,1232,38,30,26,98,371,295,348,300,109,255,70,57,36,84,39,0,0,19593726,18387826,11698808,13010446,5826,4473921,720000,3751,198,117,3174,1007,2984,810,495,170,727,458,790
,98614,1728138156|28800|0,1974,1619,569,600,597,624,597,98,53,15,31,99,87,0,1311,38,31,27,98,378,298,344,300,112,244,68,60,34,82,39,0,0,20789205,20653692,12197461,14096741,4212,3201621,720000,3995,199,115,3280,1093,2839,877,466,165,724,491,578
,98815,1728219627|28800|0,1974,1606,479,597,589,622,589,95,48,15,29,99,86,64,1284,37,30,28,98,357,296,342,300,144,275,66,58,40,81,47,0,0,19802284,19540858,11901261,13401976,2089,3762910,720000,4129,200,117,3739,1045,2939,843,473,166,735,480,428
,99015,1728367938|28800|0,1973,1599,394,599,592,628,591,94,60,15,32,98,86,34,1273,36,30,24,98,385,298,360,299,154,262,66,57,27,82,28,0,0,20053779,19339584,11286358,13158591,1566,4686472,720000,3923,199,118,3556,1028,2886,821,494,170,734,475,2260
,99216,1728453290|28800|0,1971,1626,495,601,602,630,595,95,47,15,32,100,87,67,1305,39,31,28,98,348,300,335,296,164,260,69,59,35,83,46,0,0,19011695,19392884,11091176,13237552,5628,3365419,720000,4002,198,119,3068,1049,2667,844,485,165,724,488,821
,99416,1728530303|28800|0,1970,1592,923,606,606,631,595,93,46,15,29,100,88,65,1292,41,32,28,98,373,300,370,300,143,253,70,59,39,84,48,0,0,19820917,18803266,12488559,14318788,4413,3292353,720000,4354,199,116,3038,1042,2760,873,477,167,723,484,23477
,99616,1728610579|28800|0,1973,1602,295,607,605,630,597,91,48,14,32,98,86,66,1288,39,32,28,98,353,294,341,298,140,252,66,59,38,81,48,0,0,17490148,18200539,11482399,13635944,1496,3398040,720000,4140,198,117,2901,1035,2718,853,480,167,726,482,19168
,99817,1728695484|28800|0,1974,1614,393,596,597,621,592,93,50,15,33,100,88,59,1311,39,31,27,98,411,307,339,302,163,253,67,59,38,83,47,0,0,18501370,19806103,13326354,15989770,2922,3592425,720000,4331,199,114,3331,1038,2909,875,481,165,728,491,1209
,100017,1728775354|28800|0,1976,1645,230,592,602,627,591,92,50,14,26,99,86,64,1303,38,32,27,98,366,301,341,301,151,262,67,60,39,83,49,0,0,21741945,18046798,10491929,12460813,3593,2812121,720000,3989,199,116,3217,1039,2880,816,460,159,720,486,493
,100218,1728857567|28800|0,1972,1629,228,596,601,622,594,93,48,15,26,99,87,63,1279,37,32,28,98,368,293,374,301,156,259,67,59,38,83,49,0,0,20729033,18110259,11060105,13125323,6312,3176721,720000,4225,199,115,2948,1018,2801,816,480,163,731,477,284
,100418,1728936884|28800|0,1973,1586,222,594,601,623,594,94,49,14,21,100,88,64,1216,37,31,27,98,353,300,357,302,127,253,66,58,36,81,45,0,0,18066955,17854889,10163088,12355550,7963,4328388,720000,3974,199,117,3066,964,2790,777,488,169,722,451,246
,100618,1729024446|28800|0,1974,1613,221,601,602,625,597,94,52,14,31,101,88,58,1272,38,32,26,98,354,299,375,297,161,259,67,59,36,83,42,0,0,19562356,18295026,11326371,12866646,10170,3575709,720000,4037,200,116,2983,1016,2921,821,488,165,724,474,224
,100819,1729681476|28800|0,1973,1600,262,602,608,629,598,95,59,15,26,99,87,29,1229,37,30,26,98,382,301,362,301,130,261,69,56,30,82,32,1,1,20008069,16744019,10910676,12783114,3366,4707072,720000,3855,200,122,3504,963,2895,772,500,167,732,456,4619
,101019,1729762909|28800|0,1978,1600,241,606,608,631,597,94,48,14,31,101,88,65,1251,39,32,28,98,354,299,343,298,113,245,67,59,42,82,47,0,0,18889637,19325239,12218165,13777601,11303,3310142,720000,4273,198,115,3314,1004,2793,829,472,164,729,466,1201
,101220,1729847084|28800|0,1975,1636,261,604,610,629,597,93,49,14,30,101,88,64,1285,39,32,28,98,409,297,330,300,111,249,68,60,40,84,49,0,0,20525211,19308686,11557573,12699484,13560,2732587,720000,4243,198,118,3087,1042,2772,829,476,160,728,479,344
,101420,1729924098|28800|0,1977,1601,238,605,608,628,598,95,48,14,31,101,89,65,1256,39,33,29,98,353,296,345,299,180,265,66,60,37,82,48,0,0,18892393,18927649,11294783,12519378,14360,3727145,720000,4121,198,115,3244,1024,2923,822,501,168,720,468,193
,101620,1730032517|28800|0,1973,1607,244,611,610,632,596,97,60,15,31,100,88,37,1258,40,33,24,98,396,298,330,301,159,262,68,59,28,84,30,0,0,18925733,18862767,11797350,12778751,16589,3642173,720000,3926,198,118,3144,1026,2873,817,516,168,725,468,12331
,101821,1730185631|28800|0,1980,1528,377,598,607,631,597,95,60,15,32,98,86,39,1126,39,32,24,98,349,299,349,296,174,263,66,56,29,81,33,0,0,17730305,16828579,9430695,11000051,1843,6110393,720000,3881,238,119,3056,902,2727,717,513,182,727,415,1563
,102021,1730269173|28800|0,1976,1578,245,609,615,635,604,95,48,15,30,100,88,63,1173,39,31,26,98,373,297,354,301,110,248,68,56,38,82,45,0,0,18718768,17673411,10148265,11289094,2165,4779499,720000,3892,199,117,3242,946,2946,741,478,172,733,433,358
,102222,1730421949|28800|0,1977,1578,239,600,607,627,597,98,61,14,29,99,87,34,1196,38,31,23,98,387,295,371,295,190,268,67,56,28,82,28,0,0,17709061,18635218,10723928,12686846,5442,4907709,720000,4113,199,118,3258,956,2735,783,519,173,728,443,1653
,102422,1730509435|28800|0,1975,1610,230,602,604,630,594,96,47,15,31,99,87,65,1239,36,30,27,98,385,307,368,302,166,269,66,58,39,81,46,0,0,21419176,19666635,10782407,12274599,4367,4136101,720000,4016,201,117,3592,1012,2829,790,472,167,722,460,936
,102623,1730623652|28800|0,1976,1592,239,603,608,629,598,96,59,13,30,100,88,48,1212,38,32,25,98,370,296,336,301,163,268,67,58,31,82,33,0,0,19480735,17904183,10955585,12296686,8391,4681603,720000,3902,199,119,3089,975,2957,779,490,173,724,449,964
,102823,1730705480|28800|0,1977,1615,234,604,606,625,599,95,46,15,31,99,87,66,1250,38,31,27,98,352,297,336,300,156,251,66,58,38,80,46,0,0,20755576,19137434,11262722,13100513,5279,3827977,720000,3901,199,115,3281,1020,2925,812,484,166,732,465,461
,103023,1730787444|28800|0,1976,1628,236,604,608,628,598,97,47,15,31,100,88,67,1261,38,31,27,98,407,300,348,300,114,247,67,58,40,81,47,0,0,20163093,19316174,11988372,13473212,6379,3495857,720000,3809,202,117,3497,1028,2961,818,475,165,728,469,925
,103224,1730921776|28800|0,1976,1588,238,603,608,629,596,100,61,15,30,100,87,33,1197,37,30,23,98,363,308,369,298,224,289,67,56,26,81,27,0,0,21830217,17068803,11965172,13984810,5570,5115336,720000,3768,198,121,3267,952,3002,772,516,172,733,443,1765
,103424,1731011866|28800|0,1973,1612,234,606,608,629,601,95,53,12,30,99,87,59,1238,39,31,27,98,378,324,362,300,124,268,66,58,36,81,41,0,0,23167123,18628168,11190051,12588583,7886,3965229,720000,4424,198,117,3389,1003,2822,788,484,168,729,460,585
,103625,1731094335|28800|0,1976,1631,237,608,611,629,597,96,47,14,30,100,88,65,1284,42,33,27,98,377,298,345,298,170,268,66,59,40,82,50,0,0,18880215,19475949,11361284,13230922,10852,3327544,720000,4092,198,116,3080,1044,2684,834,467,166,733,479,428
,103825,1731175612|28800|0,1973,1645,233,605,608,631,597,92,47,14,31,100,88,67,1337,39,32,29,98,380,298,345,301,108,250,70,61,39,84,49,0,0,20264275,21286728,12243326,14160597,11983,2647152,720000,4308,198,116,3408,1102,2875,887,475,162,726,501,641
,104025,1731249643|28800|0,1975,1647,236,605,609,629,597,95,45,15,31,100,88,69,1309,40,33,28,99,374,300,336,301,163,256,70,62,42,85,59,0,0,20496542,19918882,12269724,14152914,10413,2783104,720000,3949,198,115,3387,1063,2903,849,465,163,728,489,205
,104226,1731347879|28800|0,1978,1619,230,602,608,630,595,93,51,14,29,100,87,59,1281,39,32,27,98,368,304,364,302,162,268,69,60,37,83,41,0,0,27961379,19568440,11388877,12970670,6328,3892415,720000,4202,198,116,3187,1063,2790,810,492,168,725,478,2290
,104426,1731437720|28800|0,1973,1581,234,604,609,633,595,93,55,14,31,100,88,53,1213,40,33,28,99,409,300,353,298,162,267,69,59,32,84,39,0,0,20447928,17810862,10940456,12476404,10941,5192668,720000,3754,198,116,3144,980,2891,779,488,176,726,450,1499
,104626,1731518190|28800|0,1975,1639,227,601,608,629,594,92,47,14,31,100,88,67,1298,40,33,28,99,378,298,359,300,162,254,67,60,42,83,50,0,0,19933756,19396731,12270562,14199164,12319,3122933,720000,4008,199,116,3053,1055,2801,848,472,166,732,485,1365
,104826,1731595368|28800|0,1976,1633,233,601,610,627,589,92,47,14,31,101,89,67,1308,38,33,29,99,372,297,354,300,227,286,68,61,42,84,54,0,0,18629867,20698090,13098374,15569004,25796,3141941,720000,4679,199,114,3159,1031,2638,883,502,167,723,489,141
,105027,1731680302|28800|0,1974,1583,232,608,614,634,594,94,49,14,32,99,87,60,1256,37,32,29,99,389,299,354,302,224,289,69,59,37,81,46,0,0,20243264,18738402,11960931,13515812,8520,4255175,720000,3920,198,116,3515,1026,2778,836,498,171,727,469,1100
,105227,1731762372|28800|0,1974,1631,229,606,612,634,592,92,46,14,31,101,88,68,1288,39,34,29,99,349,300,351,298,167,270,71,61,40,85,50,0,0,21341509,19178406,11121296,12794137,12961,3220505,720000,4085,198,117,3341,1050,2779,824,481,166,732,481,762
,105428,1731852385|28800|0,1973,1639,227,601,612,630,593,93,53,15,31,99,87,59,1305,37,32,30,99,332,295,331,302,143,257,66,60,38,82,43,0,0,20846728,19234271,11302623,12666394,4275,3191050,720000,4082,199,116,3114,1068,2902,841,483,165,724,488,1124
,105631,1732071808|28800|0,1977,1611,236,595,604,625,590,99,61,15,33,98,86,0,1229,37,29,26,99,343,299,344,300,197,290,64,55,27,79,28,0,0,20285793,17173403,10654455,13013447,4923,4852478,720000,3533,203,123,3181,973,2881,768,509,170,723,456,2985
,105831,1732154004|28800|0,1978,1603,239,603,612,630,600,96,47,15,32,100,87,66,1226,39,32,28,99,374,294,339,302,126,249,70,59,41,82,48,0,0,20660163,17728047,10965378,13559235,7088,4064591,720000,3808,198,116,3423,1002,2772,795,476,170,732,455,1140
,106031,1732235523|28800|0,1975,1586,237,608,618,635,601,97,48,14,31,101,89,65,1235,38,32,29,99,388,301,360,298,131,251,69,59,37,83,45,0,0,19791575,18478203,10849075,14305394,20404,4562061,720000,3677,205,116,2993,1026,2842,815,483,174,732,460,375
